code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
006400,삼성SDI,2020-01-03,235000,235500,228500,229000,239108,186494.0,193665.0,411543.0,0.9745,0.9789,1.0107,1.0333,230500.0,0.9935,228200.0,1.0035
207940,삼성바이오로직스,2020-01-03,431500,436500,418500,422000,123610,108281.0,136848.0,222613.0,0.978,0.9896,1.007,1.0251,425300.0,0.9922,403900.0,1.0448
068290,삼성출판사,2020-01-03,26850,27000,25350,25500,1050345,863209.0,947396.0,3053365.0,0.9497,1.0333,0.9922,1.0407,25370.0,1.0051,24052.5,1.0602
029780,삼성카드,2020-01-03,37800,38050,37350,37600,87566,81976.0,75092.0,152863.0,0.9947,0.9702,0.9936,0.9961,38370.0,0.9799,39075.0,0.9623
000810,삼성화재해상보험,2020-01-03,239000,239500,237000,237000,89894,120193.0,58219.0,125558.0,0.9916,0.9795,0.9959,1.0104,241800.0,0.9801,243900.0,0.9717
000070,삼양홀딩스,2020-01-03,67000,67800,65700,66700,9917,9070.0,5607.0,10343.0,0.9955,1.0045,1.006,1.0169,66760.0,0.9991,65515.0,1.0181
005680,삼영전자공업,2020-01-03,9030,9060,8990,9010,12630,10666.0,7470.0,14475.0,0.9978,0.9901,0.9967,1.0033,9036.0,0.9971,8904.0,1.0119
003720,삼영화학공업,2020-01-03,1010,1010,998,1000,28020,25440.0,40873.0,41309.0,0.9901,1.007,1.0071,0.991,998.4,1.0016,1001.3,0.9987
001290,상상인증권,2020-01-03,1295,1325,1295,1305,84018,146940.0,162044.0,328410.0,1.0077,0.9736,1.0192,1.0403,1290.0,1.0116,1302.75,1.0017
007610,선도전기,2020-01-03,3005,3035,2960,2965,48502,36821.0,27205.0,23996.0,0.9867,0.995,1.0083,1.0101,3003.0,0.9873,2974.25,0.9969
136490,선진,2020-01-03,9620,9680,9520,9650,24366,24209.0,15646.0,44849.0,1.0031,1.0289,0.9979,1.0053,9492.0,1.0166,9344.0,1.0327
091090,세원셀론텍,2020-01-03,2965,2975,2905,2935,233532,283899.0,1227006.0,97320.0,0.9899,1.0138,1.036,1.0127,2861.0,1.0259,2801.75,1.0476
011930,신성이엔지,2020-01-03,954,957,949,956,282100,342419.0,529176.0,317443.0,1.0021,1.0042,1.0171,1.0141,943.4,1.0134,922.45,1.0364
