,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A000150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,6.25,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,2.63,11.20,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,3.37,55.84,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,4.24,,0.12,,,,,,,,,,,,,,,,,,,,,1.54,,,,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 동현수, 김민철",http://www.doosancorp.co.kr,서울특별시
A000180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,26.61,88.18,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,7.92,10.49,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,15.15,43.98,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,243.06,,0.84,,,,,,,,,,,,,,,,,,,,,0.25,,,,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시
A000210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,8.81,12.53,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,9.00,12.67,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,5.22,6.48,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,5.09,6.12,0.36,,,,,,,,,,,,,,,,,,,,,0.69,,,,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",1976-02-02,12월,"김상우, 배원복 (각자 대표이사)",http://www.daelim.co.kr,서울특별시
A000220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,76.51,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,8.95,11.38,0.94,,,,,,,,,,,,,,,,,,,,,1.07,14.84,19.61,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,13.09,20.02,0.97,,,,,,,,,,,,,,,,,,,,,0.89,,,,유유제약,의약품 제조업,"의약품 제조,판매",1975-11-18,12월,"유승필,유원상(각자대표이사)",http://www.yuyu.co.kr,충청북도
A000230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,19.21,35.94,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.65,1.72,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,57.20,1996.47,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,3.08,,,,,,,,,,,,,,,,,,,,,0.73,,,,일동홀딩스,기타 금융업,"의약품 제조,도매",1975-06-28,12월,이정치,http://www.ildong.com,서울특별시
A000240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,9.29,9.43,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,6.90,7.38,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,6.81,7.54,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,6.60,7.46,1.82,,,,,,,,,,,,,,,,,,,,,0.40,,,,한국테크놀로지그룹,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",1968-12-27,12월,조현식,http://www.hankooktire.com,서울특별시
A000250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,12.23,16.67,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,17.77,28.70,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,18.19,27.28,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,55.79,95.95,5.25,,,,,,,,,,,,,,,,,,,,,4.64,,,,삼천당제약,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",2000-10-04,12월,"윤대인, 전인석(각자 대표이사)",http://www.scd.co.kr,경기도
A000270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,5.26,8.11,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.58,5.78,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,4.81,14.03,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,4.42,11.82,0.25,,,,,,,,,,,,,,,,,,,,,0.64,,,,기아자동차,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"박한우, 최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시
A000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,12.95,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,7.18,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,33.77,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,4.44,31.98,0.16,,,,,,,,,,,,,,,,,,,,,0.92,,,,대유플러스,통신 및 방송 장비 제조업,"유,무선 통신장비",1975-06-09,12월,조상호,http://www.dayouplus.co.kr,광주광역시
A000320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,3.82,5.13,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,6.46,19.28,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,3.31,5.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,10.60,,0.20,,,,,,,,,,,,,,,,,,,,,0.42,,,,노루홀딩스,기타 금융업,지주사업,1973-08-10,12월,"한영재,김용기",http://www.norooholdings.co.kr,경기도
