,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A010470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,26.24,37.28,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,12.21,17.05,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,10.35,14.24,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,5.63,6.58,0.32,,,,,,,,,,,,,,,,,,,,,0.72,,,,오리콤,광고업,광고대행,2000-10-24,12월,"고영섭, 김성대(각자 대표이사)",http://www.oricom.co.kr,서울특별시
A010580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,7.01,13.35,0.48,,,,,,,,,,,,,,,,,,,,,,,,,지코,자동차 신품 부품 제조업,"자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조",1994-12-27,12월,"김형철, 신승균, 신달석",http://www.jico21.com,충청남도
A010600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,29.30,66.24,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,2.16,,,,,,,,,,,,,,,,,,,,,1.22,,,,웰바이오텍,상품 중개업,"피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조",1997-07-18,12월,구세현,http://www.wellbiotec.co.kr,서울특별시
A010620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,9.88,27.32,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,15.47,38.92,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,3.23,3.61,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,18.19,28.19,1.00,,,,,,,,,,,,,,,,,,,,,0.77,,,,현대미포조선,선박 및 보트 건조업,"선박수리,선박개조,선박신조",1983-12-20,12월,신현대,http://www.hmd.co.kr,울산광역시
A010640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,3.18,3.35,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,9.90,30.60,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,10.56,23.44,0.75,,,,,,,,,,,,,,,,,,,,,0.96,,,,진양폴리우레탄,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매",1989-09-30,12월,"김상용,조영태(각자대표이사)",http://www.chinyangpoly.kr,경기도
A010660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,10.99,25.22,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,103.43,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,10.15,81.92,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,10.84,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,화천기계,특수 목적용 기계 제조업,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조",1988-12-12,12월,"권영열, 권형석",http://www.hwacheon.co.kr,서울특별시
A010690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,8.05,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,2.24,4.72,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,5.94,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,0.08,,,,,,,,,,,,,,,,,,,,,0.39,,,,화신,자동차 신품 부품 제조업,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",1994-01-14,12월,"정 서 진, 김 태 준",http://www.hwashin.co.kr,경상북도
A010770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,1.91,96.74,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,1.77,8.83,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,2.27,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,0.16,,,,,,,,,,,,,,,,,,,,,0.55,,,,평화홀딩스,자동차 신품 부품 제조업,지주회사,1986-03-31,12월,"김종석, 김동관",http://www.phhc.co.kr,대구광역시
A010780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,7.29,11.92,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,4.98,6.45,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,4.10,5.50,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,3.01,3.86,0.55,,,,,,,,,,,,,,,,,,,,,0.86,,,,아이에스동서,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",1986-01-27,12월,권민석,http://www.isdongseo.co.kr,서울특별시
A010820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,41.80,100.21,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,44.02,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,19.25,42.71,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,퍼스텍,무기 및 총포탄 제조업,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발",1989-05-10,12월,"김용민, 손경석",http://www.firsteccom.co.kr,경상남도
A010950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,10.24,14.67,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,6.62,8.19,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,8.86,10.94,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,18.61,44.15,0.45,,,,,,,,,,,,,,,,,,,,,1.80,,,,S-Oil,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,Hussain A.Al-Qahtani,http://www.s-oil.com,서울특별시
A010960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,8.74,10.71,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,4.90,5.45,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,5.04,5.32,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,5.82,6.06,0.42,,,,,,,,,,,,,,,,,,,,,0.59,,,,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",2005-05-12,12월,"김락중, 심재범",http://www.samhodev.co.kr/,충청남도
A011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,67.77,121.65,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,2.68,,,,,,,,,,,,,,,,,,,,,2.96,,,,진원생명과학,의약품 제조업,"의류용심지(인터론),가공직물(패브론) 제조,도소매",1987-11-16,12월,박영근,http://www.genels.com,서울특별시
A011040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,13.38,18.45,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,10.34,13.94,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,11.02,14.49,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,25.12,57.74,1.69,,,,,,,,,,,,,,,,,,,,,0.83,,,,경동제약,의약품 제조업,"로사졸정, 시사프렌정, 디로핀정, 타론정.주",1992-12-18,12월,"류덕희, 류기성",http://www.kdpharma.co.kr,경기도
A011070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,4.04,24.52,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,5.88,422.41,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,6.43,19.50,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,3.00,12.54,0.26,,,,,,,,,,,,,,,,,,,,,1.22,,,,LG이노텍,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시
A011080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,10.32,17.27,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,형지I&C,봉제의복 제조업,남성셔츠,2004-07-02,12월,최혜원,http://www.woosunginc.com,서울특별시
A011090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,19.39,25.11,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,30.35,75.12,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,20.52,51.86,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,15.93,60.82,0.19,,,,,,,,,,,,,,,,,,,,,1.00,,,,에넥스,가구 제조업,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매",1995-07-08,12월,"박진규, 송성수(각자 대표)",http://www.enex.co.kr,서울특별시
A011150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,21.04,49.40,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,12.34,23.33,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,10.37,22.63,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,10.37,38.90,0.56,,,,,,,,,,,,,,,,,,,,,,,,,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 강연중(각자대표)",http://www.cjseafood.net,경기도
A011160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,0.08,,,,,,,,,,,,,,,,,,,,,0.77,,,,두산건설,건물 건설업,"토목건축,화학기계,전동기,발전기및전기변환장치,레미콘",1996-01-30,12월,"이병화, 김진설(각자 대표이사)",http://www.doosanenc.com,서울특별시
A011170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,5.64,8.41,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,5.13,6.89,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,4.30,5.62,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,4.19,6.01,0.57,,,,,,,,,,,,,,,,,,,,,0.61,,,,롯데케미칼,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,12월,"신동빈, 김교현, 임병연",http://www.lottechem.com,서울특별시
A011200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,0.22,,,,,,,,,,,,,,,,,,,,,1.62,,,,현대상선,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시
A011210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,5.98,9.32,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,5.66,15.19,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,9.53,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,4.80,,0.13,,,,,,,,,,,,,,,,,,,,,0.43,,,,현대위아,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21,12월,김경배,http://www.hyundai-wia.com,경상남도
A011230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,8.12,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,0.55,,,,,,,,,,,,,,,,,,,,,2.07,,,,삼화전자공업,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",1987-05-25,12월,"오영주, 이건화",http://www.samwha.co.kr,경기도
A011280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,34.06,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,7.27,31885.49,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,6.14,12.79,0.46,,,,,,,,,,,,,,,,,,,,,1.11,,,,태림포장,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",1988-12-20,12월,김영식,http://www.tailim.com,경기도
A011300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,7.13,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,4.43,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,9.22,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,18.19,,0.16,,,,,,,,,,,,,,,,,,,,,0.35,,,,성안,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,12월,박상태,http://www.startex.co.kr,대구광역시
A011320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,5.15,10.42,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,4.14,8.88,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,8.97,38.57,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,8.75,56.02,0.60,,,,,,,,,,,,,,,,,,,,,1.23,,,,유니크,자동차 신품 부품 제조업,"EGR밸브, 유압솔레노이드밸브, 퓨얼벤트밸브, 퓨얼컷트밸브, 체크밸브, 케니스타 등",1993-12-29,12월,안정구,http://www.unick.co.kr,경상남도
A011330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,27.88,44.96,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,9.56,11.42,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,7.23,8.32,1.07,,,,,,,,,,,,,,,,,,,,,1.56,,,,유니켐,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대",1989-12-14,12월,이장원,http://www.uni-chem.net,경기도
A011370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,5.46,5.48,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,3.55,3.56,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,2.95,2.96,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,4.43,4.46,0.29,,,,,,,,,,,,,,,,,,,,,,,,,서한,건물 건설업,"건축, 토목",1994-05-24,12월,조 종 수,http://www.seo-han.co.kr,대구광역시
A011390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,2.94,7.25,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,2.97,7.43,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,3.25,9.99,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,17.53,56.84,1.44,,,,,,,,,,,,,,,,,,,,,3.28,,,,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘 제조,판매",1990-09-14,12월,이종산,http://www.busanind.co.kr,부산광역시
A011420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,19.78,40.99,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,2.07,,,,,,,,,,,,,,,,,,,,,2.50,,,,갤럭시아에스엠,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,12월,심우택,http://galaxiasme.com,서울특별시
A011500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,3.97,7.15,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,6.49,11.47,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,4.26,7.50,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,5.13,10.67,0.28,,,,,,,,,,,,,,,,,,,,,,,,,한농화성,기타 화학제품 제조업,"계면활성제,글리콜에테르 제조,판매",2003-01-09,12월,"김응상, 경상호 (각자대표)",http://hannong.koreasme.com,전라북도
A011560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,5.05,5.70,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,5.31,6.03,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,5.06,5.52,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,4.04,4.45,0.20,,,,,,,,,,,,,,,,,,,,,0.53,,,,세보엠이씨,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 .",1996-12-23,12월,"김우영, 김진호(각자 대표이사)",http://www.sebo21.co.kr,서울특별시
A011690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,11.25,36.74,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,29.95,57.22,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,,4.51,,,,,,,,,,,,,,,,,,,,,3.56,,,,유양디앤유,반도체 제조업,"혼성직접회로,통신기기 제조/화공약품,케이블 도매",1995-12-21,12월,"김상옥, 박일(각자 대표)",http://www.yuyang.co.kr,경기도
A011700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,11.78,12.31,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,14.95,15.65,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,24.88,26.84,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,18.44,20.71,1.30,,,,,,,,,,,,,,,,,,,,,0.68,,,,한신기계공업,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",1987-07-24,12월,최영민,http://www.hanshin.co.kr,경기도
A011760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,3.63,3.90,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,17.53,36.40,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,9.16,10.33,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,0.08,,,,,,,,,,,,,,,,,,,,,0.78,,,,현대종합상사,상품 종합 도매업,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",1977-12-01,12월,정몽혁,http://www.hyundaicorp.co.kr,서울특별시
A011780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,5.92,14.67,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,9.84,37.49,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,7.72,15.60,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,4.17,5.95,0.52,,,,,,,,,,,,,,,,,,,,,0.91,,,,금호석유화학,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,"박찬구, 문동준",http://www.kkpc.com,서울특별시
A011790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,2.99,4.55,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,7.33,28.70,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,7.59,16.03,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,5.43,11.14,0.49,,,,,,,,,,,,,,,,,,,,,0.92,,,,SKC,기타 화학제품 제조업,"폴리에스테르필름,합성수지,LCD용 필름 제조",1997-07-18,12월,이완재,http://www.skc.kr,경기도
A011810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,1.37,1.38,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,18.84,24.94,0.15,,,,,,,,,,,,,,,,,,,,,2.20,,,,STX,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",1990-09-12,12월,박상준,http://www.stx.co.kr,경상남도
A011930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,8.23,71.69,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,10.90,65.39,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,6.02,16.25,0.41,,,,,,,,,,,,,,,,,,,,,1.03,,,,신성이엔지,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,이지선,http://www.shinsungeng.com,경기도
A012030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,5.39,6.85,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,126.51,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,30.96,,0.71,,,,,,,,,,,,,,,,,,,,,0.78,,,,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
