,2012/02,2012/02,2012/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/08,2014/08,2014/08,2015/02,2015/02,2015/02,2015/02,2015/02,2015/02,2015/02,2015/12,2015/12,2015/12,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/02,2016/02,2016/02,2016/06,2016/06,2016/06,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
A000150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,164703.0,207639.0,9243.0,9250.0,79009.0,286648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.0,169134.0,211656.0,11676.0,6770.0,76034.0,287690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3405.0,181722.0,217352.0,12159.0,10219.0,71450.0,288803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621.0,137458.0,235805.0,9590.0,-8090.0,68965.0,304770.0,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 동현수, 김민철",http://www.doosancorp.co.kr,서울특별시
A000180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1814.0,1327.0,10.0,23.0,5038.0,6364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,1783.0,1521.0,-2.0,67.0,5020.0,6541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.0,1611.0,1593.0,-86.0,-1.0,4894.0,6487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,1181.0,1628.0,-64.0,43.0,4815.0,6443.0,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시
A000210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932.0,98538.0,72461.0,4194.0,1470.0,51454.0,123915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.0,123355.0,77081.0,5459.0,4376.0,56943.0,134025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6781.0,109845.0,67835.0,8454.0,11045.0,60502.0,128337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5607.0,69532.0,63847.0,7616.0,4138.0,65446.0,129293.0,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",1976-02-02,12월,"김상우, 배원복 (각자 대표이사)",http://www.daelim.co.kr,서울특별시
A000220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,716.0,330.0,37.0,98.0,783.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,629.0,387.0,36.0,13.0,828.0,1215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,831.0,484.0,53.0,61.0,869.0,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,664.0,439.0,63.0,75.0,892.0,1331.0,유유제약,의약품 제조업,"의약품 제조,판매",1975-11-18,12월,"유승필,유원상(각자대표이사)",http://www.yuyu.co.kr,충청북도
A000230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662.0,408.0,972.0,-37.0,466.0,1068.0,2041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,411.0,1002.0,-18.0,-22.0,1741.0,2742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.0,471.0,1005.0,0.0,62.0,1649.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,418.0,1576.0,15.0,10.0,1643.0,3219.0,일동홀딩스,기타 금융업,"의약품 제조,도매",1975-06-28,12월,이정치,http://www.ildong.com,서울특별시
A000240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695.0,6900.0,2281.0,2616.0,858.0,28694.0,30975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.0,8248.0,2564.0,1993.0,1229.0,30597.0,33161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,8480.0,2627.0,2115.0,609.0,32359.0,34986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489.0,6384.0,2904.0,1518.0,821.0,33827.0,36731.0,한국테크놀로지그룹,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",1968-12-27,12월,조현식,http://www.hankooktire.com,서울특별시
A000250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,1474.0,341.0,244.0,178.0,1710.0,2051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,1606.0,364.0,240.0,261.0,1938.0,2301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,1600.0,554.0,155.0,250.0,2058.0,2612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,1420.0,599.0,258.0,270.0,2233.0,2832.0,삼천당제약,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",2000-10-04,12월,"윤대인, 전인석(각자 대표이사)",http://www.scd.co.kr,경기도
A000270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27546.0,527129.0,243098.0,24615.0,32759.0,265794.0,508893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9680.0,535357.0,254333.0,6622.0,25942.0,268612.0,522944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11559.0,541698.0,245431.0,11575.0,44708.0,272435.0,517866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14803.0,420405.0,266905.0,14192.0,33445.0,287365.0,554270.0,기아자동차,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"박한우, 최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시
A000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,4341.0,8253.0,104.0,215.0,1199.0,9452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.0,4577.0,8261.0,71.0,-69.0,1202.0,9463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,5034.0,8635.0,364.0,588.0,1406.0,10041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,3949.0,9284.0,269.0,-181.0,1541.0,10825.0,대유플러스,통신 및 방송 장비 제조업,"유,무선 통신장비",1975-06-09,12월,조상호,http://www.dayouplus.co.kr,광주광역시
A000320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,6901.0,4367.0,227.0,545.0,5335.0,9702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,7713.0,4111.0,173.0,307.0,5775.0,9886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,8360.0,4256.0,102.0,74.0,5615.0,9871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,6707.0,4600.0,257.0,329.0,5723.0,10323.0,노루홀딩스,기타 금융업,지주사업,1973-08-10,12월,"한영재,김용기",http://www.norooholdings.co.kr,경기도
